"","year","season","SUBLOCATION","rainfall","noaa","modis","znoaa","zrain","zmodis","zlnoaa","zlrain","zlmodis","stock_beginning","loss","mortality_rate","payouts","capital","capital_ins","hist"
"1",2008,"SRSD","BUBISA",1.25282329464877,0.172004078945356,0.210255339789474,-0.288834305168325,0.0958685540263888,-0.338363304884606,-0.217053152580461,0.379042843413202,-0.300338741207629,50.7736842930317,1.59736840887681,0.0314605573953994,0,4842.697213023,4715.20217321578,4842.697213023
"2",2008,"SRSD","DAKABARICHA",3.00476693983443,0.440442998716569,0.410462055,-0.629328194165148,0.239288299613493,-0.795962589204264,-0.554855994999503,0.525894498045316,-0.715755540589364,21.3230768228189,0.179487179487179,0.00841750845708634,0,4957.91245771457,4830.41741790734,4957.91245771457
"3",2008,"SRSD","DIRIB GOMBO",2.20191617603658,0.285642995103511,0.317570091,-0.739893921320663,0.0200577727047364,-0.748065339624745,-0.698992334892038,0.281231849134723,-0.677781024936035,10.3559139687368,1.03978494899247,0.100404942734312,0,4497.97528632844,4370.48024652122,4497.97528632844
"4",2008,"SRSD","EL GADE",0.442480595985938,0.112782603354415,0.135914825947368,-0.642052828199881,-0.333212782265229,-0.823566128874661,-0.477838109290179,-0.16467348385945,-0.880879764553215,21.4163265349914,1.13061223604849,0.0527920712359903,0,4736.03964382005,4608.54460401282,4736.03964382005
"5",2008,"SRSD","ILLAUT",0.433845595913957,0.155719948743282,0.183797012263158,-0.605409671815415,-0.637678522534411,-0.0872433716822633,-0.554865722518324,-0.652357230937762,-0.0440100044045469,27.6999998007502,1.10000000468322,0.0397111917904574,0,4801.44404104771,4673.94900124049,4801.44404104771
"6",2008,"SRSD","KALACHA",0.443282013960304,0.0992897954222562,0.118534414263158,-0.822320406498435,-0.238667296009765,-0.76663012795463,-0.658898506554475,-0.0285322138442987,-0.819816790181777,23.9670211924834,1.86914893350703,0.0779883707072129,0,4610.05814646394,4482.56310665671,4610.05814646394
"7",2008,"SRSD","KARARE",2.28943825221238,0.364510561899516,0.389193078315789,-0.0351179717395682,-0.0320505211063858,-0.285065968952863,0.05491765231831,0.186504278025282,-0.216912280841808,18.6307693444766,0.761538463143202,0.0408753094981005,0,4795.6234525095,4668.12841270227,4795.6234525095
"8",2008,"SRSD","KARGI",0.514140397552616,0.151089085089786,0.177732114736842,-0.296806236818443,-0.223734336709861,-0.0393970689659897,-0.200911155089088,-0.0456899777628763,0.00918068637115536,57.8572913110256,4.71562500321306,0.0815044205554508,0,4592.47789722275,4464.98285741552,4592.47789722275
"9",2008,"SRSD","LOGOLOGO",0.594246289729443,0.164664699527402,0.187531564052632,-0.560493452009462,-0.444880742058603,-0.653802555471699,-0.568953817468619,-0.353738764286391,-0.663770340585665,30.6166666666667,9.10333333412806,0.297332607538206,336.663037691028,3513.33696230897,3722.50496019277,3513.33696230897
"10",2008,"SRSD","LOIYANGALANI",0.400122589624208,0.143023792239339,0.130769393578947,0.1120884081037,-0.630739303920464,-0.348409135560313,0.198279161051691,-0.689807146359473,-0.314867887015303,18.6456692014623,5.28582679122452,0.283488178091778,267.440890458889,3582.55910954111,3722.50496019277,3582.55910954111
"11",2008,"SRSD","LONTOLIO",0.682684269837819,0.189739766334525,0.230877597,-0.465334857105399,-0.305503431007781,-0.103029052857198,-0.414651671995698,-0.156611875269591,-0.0422521509474415,7.04642856121063,0.285714289705668,0.0405473903870218,0,4797.26304806489,4669.76800825766,4797.26304806489
"12",2008,"SRSD","NGURUNIT",0.815038764498097,0.193284809963957,0.26027392,-0.703731407335368,-0.432398399126701,-0.259033994153013,-0.709067656519492,-0.350102225678359,-0.210605067241722,35.1641025054149,1.3076923138056,0.0371882749916405,0,4814.0586250418,4686.56358523457,4814.0586250418
"13",2008,"SRSD","SAGANTE",2.38697328455786,0.32202096584513,0.356048263125,-0.458853253814086,0.124166755023314,-0.296856114284553,-0.369442419903238,0.41353523823756,-0.192517277399935,14.7566668204963,0.423333333432674,0.0286875985330701,0,4856.56200733465,4729.06696752742,4856.56200733465
"14",2008,"SRSD","SOUTH HORR",0.606079488762895,0.159194012158795,0.228688739842105,-0.784995666620719,-0.675988678252887,-0.230893205493856,-0.783694603589775,-0.710309533870791,-0.180095337267462,14.5630434793623,0.441304349380991,0.030303030407509,0,4848.48484796246,4720.98980815523,4848.48484796246
"15",2008,"SRSD","TURBI",1.08291772801053,0.137472184335806,0.157843339157895,-0.624585573642318,-0.00155605341801092,-0.838785035778087,-0.670792037537737,0.252450686513572,-0.895387116750912,34.1928571519398,1.19523810098569,0.0349557831822744,0,4825.22108408863,4697.7260442814,4825.22108408863
"16",2009,"LRLD","BUBISA",0.313085838934227,0.12714031130742,0.176871356296296,-1.34830951971862,-1.61511601220518,-1.09860515425721,-1.55017860559022,-1.92813492488626,-1.2316034717057,51.3105264635463,10.2263158108843,0.199302492406692,0,4003.48753796654,3875.99249815931,4003.48753796654
"17",2009,"LRLD","DAKABARICHA",0.833391488381939,0.225734911892113,0.278113476269231,-2.57899934169218,-1.5985271302967,-1.69019095170509,-2.85056102473438,-1.82679923645919,-1.8024625050433,21.1615383563898,10.448717991511,0.493759849380516,1318.79924690258,2531.20075309742,3722.50496019277,2531.20075309742
"18",2009,"LRLD","DIRIB GOMBO",0.570835596422545,0.190300745575827,0.210462637185185,-1.59068434406631,-1.52228270814795,-1.64140068198544,-1.82076705951451,-1.7936471135434,-1.79893269470296,10.1473684473257,5.02526313395877,0.495228212126577,1326.14106063289,2523.85893936711,3722.50496019277,2523.85893936711
